t,x,y,z
10.0,19836.9,2207.4,45636.0
10.00069,19836.5,2207.4,45636.4
10.00139,19836.7,2207.1,45636.1
10.00208,19837.3,2207.3,45635.7
10.00278,19837.0,2207.0,45635.5
10.00347,19837.8,2207.4,45635.8
10.00417,19837.6,2207.5,45635.8
10.00486,19837.8,2207.7,45635.5
10.00556,19838.0,2207.1,45635.2
10.00625,19838.4,2206.6,45633.9
10.00694,19838.2,2206.3,45633.7
10.00764,19838.2,2207.0,45633.7
10.00833,19837.9,2207.2,45633.7
10.00903,19838.2,2207.1,45633.2
10.00972,19837.8,2206.8,45633.0
10.01042,19837.6,2206.6,45632.4
10.01111,19837.8,2206.3,45632.1
10.01181,19837.4,2206.4,45632.0
10.0125,19837.3,2206.3,45632.1
10.01319,19836.7,2206.1,45632.1
10.01389,19837.0,2205.9,45631.7
10.01458,19836.3,2205.7,45631.5
10.01528,19835.9,2205.9,45631.7
10.01597,19835.6,2206.0,45631.7
10.01667,19835.5,2206.0,45631.9
10.01736,19835.5,2205.9,45632.0
10.01806,19835.6,2205.9,45632.1
10.01875,19835.4,2206.0,45631.9
10.01944,19835.2,2205.9,45631.6
10.02014,19835.1,2205.8,45631.4
10.02083,19835.1,2205.7,45631.3
10.02153,19834.9,2205.6,45631.4
10.02222,19835.0,2205.4,45631.2
10.02292,19834.5,2205.3,45631.3
10.02361,19834.5,2205.0,45631.2
10.02431,19834.4,2204.7,45630.9
10.025,19834.1,2204.2,45630.9
10.02569,19834.2,2203.6,45630.8
10.02639,19834.2,2203.2,45630.7
10.02708,19834.0,2203.0,45631.1
10.02778,19834.1,2202.7,45631.2
10.02847,19834.4,2202.4,45631.1
10.02917,19834.5,2202.4,45631.2
10.02986,19834.5,2202.6,45631.5
10.03056,19835.0,2203.3,45632.0
10.03125,19834.7,2204.0,45635.0
10.03194,19835.9,2205.1,45633.3
10.03264,19835.5,2205.8,45634.2
10.03333,19834.8,2206.3,45634.1
10.03403,19834.7,2206.5,45634.3
10.03472,19834.1,2206.4,45634.6
10.03542,19834.1,2206.1,45634.2
10.03611,19834.2,2205.7,45633.8
10.03681,19834.2,2205.1,45633.5
10.0375,19834.4,2205.3,45633.3
10.03819,19834.7,2205.3,45633.0
10.03889,19834.4,2204.7,45633.2
10.03958,19834.6,2204.8,45632.9
10.04028,19835.1,2205.0,45632.9
10.04097,19835.7,2204.6,45633.7
10.04167,19835.4,2204.3,45633.7
10.04236,19835.2,2204.5,45634.1
10.04306,19835.0,2204.4,45634.3
10.04375,19835.3,2204.5,45632.6
10.04444,19835.2,2204.6,45632.4
10.04514,19834.9,2204.7,45632.6
10.04583,19835.2,2204.5,45631.7
10.04653,19835.0,2204.1,45632.6
10.04722,19834.7,2203.7,45633.4
10.04792,19834.3,2203.2,45635.1
10.04861,19834.8,2202.9,45633.2
10.04931,19835.9,2202.3,45633.0
10.05,19836.4,2202.0,45632.2
10.05069,19836.3,2201.8,45632.7
10.05139,19837.1,2201.2,45632.0
10.05208,19837.2,2200.9,45632.1
10.05278,19836.8,2201.2,45632.6
10.05347,19836.7,2200.9,45632.1
10.05417,19837.0,2200.9,45632.7
10.05486,19837.3,2201.2,45632.8
10.05556,19837.2,2201.3,45633.5
10.05625,19837.6,2201.2,45633.1
10.05694,19837.5,2201.3,45633.9
10.05764,19837.6,2200.6,45633.9
10.05833,19837.8,2200.5,45634.0
10.05903,19838.3,2200.3,45633.5
10.05972,19838.7,2200.1,45633.5
10.06042,19838.2,2200.2,45634.2
10.06111,19838.8,2200.2,45633.6
10.06181,19838.9,2200.3,45633.7
10.0625,19839.2,2200.4,45634.3
10.06319,19839.1,2200.8,45635.2
10.06389,19838.9,2200.3,45635.4
10.06458,19838.6,2199.9,45635.4
10.06528,19839.2,2199.2,45634.1
10.06597,19838.9,2199.1,45634.2
10.06667,19838.9,2199.1,45633.9
10.06736,19838.5,2199.4,45634.4
10.06806,19838.0,2200.6,45635.9
10.06875,19838.2,2200.1,45635.0
10.06944,19838.1,2199.7,45634.7
10.07014,19838.2,2199.6,45633.8
10.07083,19838.2,2199.1,45633.6
10.07153,19837.6,2199.3,45634.1
10.07222,19837.7,2199.7,45633.9
10.07292,19838.4,2200.5,45633.5
10.07361,19839.0,2200.5,45632.9
10.07431,19839.5,2200.7,45631.9
10.075,19839.7,2200.6,45632.2
10.07569,19840.1,2200.4,45632.6
10.07639,19839.9,2200.2,45633.0
10.07708,19840.0,2200.5,45633.1
10.07778,19840.0,2200.9,45633.0
10.07847,19840.3,2201.3,45633.6
10.07917,19840.0,2201.6,45634.3
10.07986,19839.6,2201.6,45634.8
10.08056,19840.0,2201.7,45634.2
10.08125,19839.7,2201.8,45634.6
10.08194,19839.5,2201.9,45634.9
10.08264,19839.2,2202.0,45635.0
10.08333,19839.2,2202.1,45634.8
10.08403,19839.3,2202.3,45634.5
10.08472,19839.7,2202.6,45634.0
10.08542,19839.6,2202.8,45634.1
10.08611,19839.5,2203.0,45634.5
10.08681,19839.4,2203.1,45634.6
10.0875,19839.3,2203.0,45634.7
10.08819,19839.5,2202.8,45634.5
10.08889,19839.5,2202.7,45634.3
10.08958,19839.6,2202.7,45634.3
10.09028,19839.7,2202.5,45634.0
10.09097,19839.4,2202.6,45634.0
10.09167,19839.4,2202.7,45633.9
10.09236,19840.0,2202.7,45633.1
10.09306,19839.9,2202.8,45633.2
10.09375,19840.0,2202.8,45633.0
10.09444,19839.3,2202.6,45633.4
10.09514,19839.5,2202.7,45633.3
10.09583,19839.7,2202.9,45633.0
10.09653,19839.5,2202.9,45633.4
10.09722,19839.3,2202.5,45633.3
10.09792,19839.1,2202.3,45633.7
10.09861,19839.3,2202.2,45633.0
10.09931,19839.6,2202.8,45634.2
10.1,19839.7,2202.8,45634.3
10.10069,19840.2,2202.2,45633.8
10.10139,19840.5,2202.4,45633.5
10.10208,19840.3,2202.4,45633.4
10.10278,19839.9,2202.7,45634.6
10.10347,19840.1,2202.9,45633.3
10.10417,19840.0,2203.2,45634.7
10.10486,19840.1,2203.6,45635.3
10.10556,19840.2,2203.7,45635.6
10.10625,19841.1,2203.0,45634.2
10.10694,19841.1,2202.8,45633.9
10.10764,19841.1,2202.9,45633.8
10.10833,19840.9,2203.0,45634.8
10.10903,19841.3,2203.1,45634.3
10.10972,19840.6,2203.4,45635.3
10.11042,19840.7,2203.4,45634.9
10.11111,19840.9,2203.7,45634.2
10.11181,19841.6,2203.7,45634.0
10.1125,19842.2,2203.9,45633.5
10.11319,19842.5,2204.4,45633.2
10.11389,19842.3,2204.7,45633.2
10.11458,19842.1,2205.1,45633.8
10.11528,19842.1,2205.2,45633.9
10.11597,19842.0,2205.2,45634.0
10.11667,19842.2,2205.2,45634.2
10.11736,19842.4,2205.2,45634.3
10.11806,19842.0,2205.2,45634.5
10.11875,19841.3,2205.2,45634.8
10.11944,19841.8,2205.4,45634.1
10.12014,19841.5,2205.3,45634.3
10.12083,19841.5,2205.2,45634.3
10.12153,19842.3,2205.4,45631.8
10.12222,19841.2,2205.1,45634.1
10.12292,19841.0,2205.0,45635.2
10.12361,19841.2,2205.2,45635.0
10.12431,19841.6,2205.2,45634.4
10.125,19842.1,2205.0,45634.3
10.12569,19841.9,2204.7,45634.9
10.12639,19842.5,2204.6,45634.3
10.12708,19843.1,2204.4,45633.0
10.12778,19842.9,2204.2,45632.3
10.12847,19841.9,2203.7,45633.8
10.12917,19841.7,2203.2,45633.5
10.12986,19841.3,2203.1,45633.4
10.13056,19840.7,2203.1,45633.5
10.13125,19840.4,2202.9,45633.4
10.13194,19840.3,2203.0,45633.6
10.13264,19840.6,2203.0,45633.6
10.13333,19840.7,2202.9,45633.5
10.13403,19841.0,2203.0,45633.4
10.13472,19840.6,2203.2,45633.9
10.13542,19840.2,2203.5,45634.2
10.13611,19840.2,2204.1,45634.3
