Time (Day)	LVV B-X (nT)
10.00000	19836.90
10.00069	19836.50
10.00139	19836.70
10.00208	19837.30
10.00278	19837.00
10.00347	19837.80
10.00417	19837.60
10.00486	19837.80
10.00556	19838.00
10.00625	19838.40
10.00694	19838.20
10.00764	19838.20
10.00833	19837.90
10.00903	19838.20
10.00972	19837.80
10.01042	19837.60
10.01111	19837.80
10.01181	19837.40
10.01250	19837.30
10.01319	19836.70
10.01389	19837.00
10.01458	19836.30
10.01528	19835.90
10.01597	19835.60
10.01667	19835.50
10.01736	19835.50
10.01806	19835.60
10.01875	19835.40
10.01944	19835.20
10.02014	19835.10
10.02083	19835.10
10.02153	19834.90
10.02222	19835.00
10.02292	19834.50
10.02361	19834.50
10.02431	19834.40
10.02500	19834.10
10.02569	19834.20
10.02639	19834.20
10.02708	19834.00
10.02778	19834.10
10.02847	19834.40
10.02917	19834.50
10.02986	19834.50
10.03056	19835.00
10.03125	19834.70
10.03194	19835.90
10.03264	19835.50
10.03333	19834.80
10.03403	19834.70
10.03472	19834.10
10.03542	19834.10
10.03611	19834.20
10.03681	19834.20
10.03750	19834.40
10.03819	19834.70
10.03889	19834.40
10.03958	19834.60
10.04028	19835.10
10.04097	19835.70
10.04167	19835.40
10.04236	19835.20
10.04306	19835.00
10.04375	19835.30
10.04444	19835.20
10.04514	19834.90
10.04583	19835.20
10.04653	19835.00
10.04722	19834.70
10.04792	19834.30
10.04861	19834.80
10.04931	19835.90
10.05000	19836.40
10.05069	19836.30
10.05139	19837.10
10.05208	19837.20
10.05278	19836.80
10.05347	19836.70
10.05417	19837.00
10.05486	19837.30
10.05556	19837.20
10.05625	19837.60
10.05694	19837.50
10.05764	19837.60
10.05833	19837.80
10.05903	19838.30
10.05972	19838.70
10.06042	19838.20
10.06111	19838.80
10.06181	19838.90
10.06250	19839.20
10.06319	19839.10
10.06389	19838.90
10.06458	19838.60
10.06528	19839.20
10.06597	19838.90
10.06667	19838.90
10.06736	19838.50
10.06806	19838.00
10.06875	19838.20
10.06944	19838.10
10.07014	19838.20
10.07083	19838.20
10.07153	19837.60
10.07222	19837.70
10.07292	19838.40
10.07361	19839.00
10.07431	19839.50
10.07500	19839.70
10.07569	19840.10
10.07639	19839.90
10.07708	19840.00
10.07778	19840.00
10.07847	19840.30
10.07917	19840.00
10.07986	19839.60
10.08056	19840.00
10.08125	19839.70
10.08194	19839.50
10.08264	19839.20
10.08333	19839.20
10.08403	19839.30
10.08472	19839.70
10.08542	19839.60
10.08611	19839.50
10.08681	19839.40
10.08750	19839.30
10.08819	19839.50
10.08889	19839.50
10.08958	19839.60
10.09028	19839.70
10.09097	19839.40
10.09167	19839.40
10.09236	19840.00
10.09306	19839.90
10.09375	19840.00
10.09444	19839.30
10.09514	19839.50
10.09583	19839.70
