Time (Day)	LVV B-Y (nT)
10.00000	2207.40
10.00069	2207.40
10.00139	2207.10
10.00208	2207.30
10.00278	2207.00
10.00347	2207.40
10.00417	2207.50
10.00486	2207.70
10.00556	2207.10
10.00625	2206.60
10.00694	2206.30
10.00764	2207.00
10.00833	2207.20
10.00903	2207.10
10.00972	2206.80
10.01042	2206.60
10.01111	2206.30
10.01181	2206.40
10.01250	2206.30
10.01319	2206.10
10.01389	2205.90
10.01458	2205.70
10.01528	2205.90
10.01597	2206.00
10.01667	2206.00
10.01736	2205.90
10.01806	2205.90
10.01875	2206.00
10.01944	2205.90
10.02014	2205.80
10.02083	2205.70
10.02153	2205.60
10.02222	2205.40
10.02292	2205.30
10.02361	2205.00
10.02431	2204.70
10.02500	2204.20
10.02569	2203.60
10.02639	2203.20
10.02708	2203.00
10.02778	2202.70
10.02847	2202.40
10.02917	2202.40
10.02986	2202.60
10.03056	2203.30
10.03125	2204.00
10.03194	2205.10
10.03264	2205.80
10.03333	2206.30
10.03403	2206.50
10.03472	2206.40
10.03542	2206.10
10.03611	2205.70
10.03681	2205.10
10.03750	2205.30
10.03819	2205.30
10.03889	2204.70
10.03958	2204.80
10.04028	2205.00
10.04097	2204.60
10.04167	2204.30
10.04236	2204.50
10.04306	2204.40
10.04375	2204.50
10.04444	2204.60
10.04514	2204.70
10.04583	2204.50
10.04653	2204.10
10.04722	2203.70
10.04792	2203.20
10.04861	2202.90
10.04931	2202.30
10.05000	2202.00
10.05069	2201.80
10.05139	2201.20
10.05208	2200.90
10.05278	2201.20
10.05347	2200.90
10.05417	2200.90
10.05486	2201.20
10.05556	2201.30
10.05625	2201.20
10.05694	2201.30
10.05764	2200.60
10.05833	2200.50
10.05903	2200.30
10.05972	2200.10
10.06042	2200.20
10.06111	2200.20
10.06181	2200.30
10.06250	2200.40
10.06319	2200.80
10.06389	2200.30
10.06458	2199.90
10.06528	2199.20
10.06597	2199.10
10.06667	2199.10
10.06736	2199.40
10.06806	2200.60
10.06875	2200.10
10.06944	2199.70
10.07014	2199.60
10.07083	2199.10
10.07153	2199.30
10.07222	2199.70
10.07292	2200.50
10.07361	2200.50
10.07431	2200.70
10.07500	2200.60
10.07569	2200.40
10.07639	2200.20
10.07708	2200.50
10.07778	2200.90
10.07847	2201.30
10.07917	2201.60
10.07986	2201.60
10.08056	2201.70
10.08125	2201.80
10.08194	2201.90
10.08264	2202.00
10.08333	2202.10
10.08403	2202.30
10.08472	2202.60
10.08542	2202.80
10.08611	2203.00
10.08681	2203.10
10.08750	2203.00
10.08819	2202.80
10.08889	2202.70
10.08958	2202.70
10.09028	2202.50
10.09097	2202.60
10.09167	2202.70
10.09236	2202.70
10.09306	2202.80
10.09375	2202.80
10.09444	2202.60
10.09514	2202.70
10.09583	2202.90
10.09653	2202.90
10.09722	2202.50
10.09792	2202.30
10.09861	2202.20
10.09931	2202.80
10.10000	2202.80
10.10069	2202.20
10.10139	2202.40
10.10208	2202.40
10.10278	2202.70
10.10347	2202.90
10.10417	2203.20
10.10486	2203.60
10.10556	2203.70
10.10625	2203.00
10.10694	2202.80
10.10764	2202.90
10.10833	2203.00
10.10903	2203.10
10.10972	2203.40
10.11042	2203.40
10.11111	2203.70
10.11181	2203.70
10.11250	2203.90
10.11319	2204.40
10.11389	2204.70
10.11458	2205.10
10.11528	2205.20
10.11597	2205.20
10.11667	2205.20
10.11736	2205.20
10.11806	2205.20
10.11875	2205.20
10.11944	2205.40
10.12014	2205.30
10.12083	2205.20
10.12153	2205.40
10.12222	2205.10
10.12292	2205.00
10.12361	2205.20
10.12431	2205.20
10.12500	2205.00
10.12569	2204.70
10.12639	2204.60
10.12708	2204.40
10.12778	2204.20
10.12847	2203.70
10.12917	2203.20
10.12986	2203.10
10.13056	2203.10
10.13125	2202.90
10.13194	2203.00
10.13264	2203.00
10.13333	2202.90
10.13403	2203.00
10.13472	2203.20
10.13542	2203.50
10.13611	2204.10
10.13681	2204.30
10.13750	2203.80
10.13819	2204.00
10.13889	2204.60
10.13958	2205.10
10.14028	2205.40
10.14097	2205.20
10.14167	2204.70
10.14236	2204.50
10.14306	2204.20
10.14375	2204.10
10.14444	2204.10
10.14514	2204.30
10.14583	2204.10
10.14653	2203.90
10.14722	2203.80
10.14792	2203.80
10.14861	2203.80
10.14931	2203.50
10.15000	2203.40
10.15069	2203.10
10.15139	2203.80
10.15208	2204.60
10.15278	2205.20
10.15347	2204.70
10.15417	2204.70
10.15486	2204.90
10.15556	2205.10
10.15625	2204.50
10.15694	2204.00
10.15764	2204.00
10.15833	2203.70
10.15903	2203.60
10.15972	2203.50
10.16042	2203.40
10.16111	2203.00
10.16181	2202.20
10.16250	2202.00
10.16319	2202.10
10.16389	2202.40
10.16458	2202.50
10.16528	2201.60
10.16597	2202.80
10.16667	2202.50
10.16736	2202.40
10.16806	2201.60
10.16875	2201.60
10.16944	2202.30
10.17014	2201.60
10.17083	2200.90
10.17153	2201.10
10.17222	2201.70
10.17292	2202.40
10.17361	2201.00
10.17431	2200.70
10.17500	2201.20
10.17569	2201.50
10.17639	2202.00
10.17708	2202.80
10.17778	2201.80
10.17847	2202.60
10.17917	2202.80
10.17986	2202.60
10.18056	2202.70
10.18125	2202.40
10.18194	2203.10
10.18264	2202.90
10.18333	2201.70
10.18403	2202.10
10.18472	2202.40
10.18542	2201.90
10.18611	2201.80
10.18681	2202.70
10.18750	2202.80
10.18819	2203.20
10.18889	2202.70
10.18958	2204.40
10.19028	2204.60
10.19097	2204.30
10.19167	2204.80
10.19236	2204.70
10.19306	2204.50
10.19375	2204.40
10.19444	2205.10
10.19514	2204.90
10.19583	2204.80
10.19653	2204.70
10.19722	2204.60
10.19792	2204.70
10.19861	2204.60
10.19931	2204.70
10.20000	2205.00
10.20069	2205.30
10.20139	2205.30
10.20208	2205.20
10.20278	2205.00
10.20347	2204.90
10.20417	2204.90
10.20486	2204.30
10.20556	2204.00
10.20625	2203.80
10.20694	2203.40
10.20764	2203.10
10.20833	2203.10
10.20903	2203.40
10.20972	2202.80
10.21042	2202.90
10.21111	2203.40
10.21181	2203.50
10.21250	2203.20
10.21319	2203.70
10.21389	2203.80
10.21458	2204.30
10.21528	2204.50
10.21597	2204.40
10.21667	2204.20
10.21736	2203.90
10.21806	2204.30
10.21875	2204.30
10.21944	2203.90
10.22014	2204.10
10.22083	2204.00
10.22153	2203.90
10.22222	2204.50
10.22292	2204.80
10.22361	2205.30
10.22431	2206.00
10.22500	2206.30
10.22569	2206.50
10.22639	2207.10
10.22708	2207.20
10.22778	2207.50
10.22847	2207.80
10.22917	2207.60
10.22986	2207.50
10.23056	2207.50
10.23125	2207.20
10.23194	2206.60
10.23264	2205.90
10.23333	2205.30
10.23403	2205.20
10.23472	2205.00
10.23542	2204.70
10.23611	2204.50
10.23681	2204.60
10.23750	2204.80
10.23819	2204.60
10.23889	2204.70
10.23958	2204.90
10.24028	2205.50
10.24097	2205.50
10.24167	2205.30
10.24236	2205.20
10.24306	2205.40
10.24375	2205.90
10.24444	2206.50
10.24514	2207.00
10.24583	2207.60
10.24653	2208.10
10.24722	2208.40
10.24792	2209.00
10.24861	2209.90
10.24931	2210.30
10.25000	2210.00
10.25069	2209.90
10.25139	2210.00
10.25208	2209.70
10.25278	2209.10
10.25347	2209.00
10.25417	2208.90
10.25486	2209.00
10.25556	2209.00
10.25625	2208.90
10.25694	2209.00
10.25764	2209.00
10.25833	2209.10
10.25903	2209.40
10.25972	2209.70
10.26042	2209.70
10.26111	2209.40
10.26181	2209.20
10.26250	2209.80
10.26319	2210.50
10.26389	2210.70
10.26458	2210.80
10.26528	2211.20
10.26597	2211.20
10.26667	2210.80
10.26736	2210.60
10.26806	2210.70
10.26875	2210.40
10.26944	2209.90
10.27014	2210.00
10.27083	2210.00
10.27153	2209.70
10.27222	2209.70
10.27292	2209.80
10.27361	2210.00
10.27431	2210.00
10.27500	2210.10
10.27569	2210.30
10.27639	2210.10
10.27708	2209.90
10.27778	2209.60
10.27847	2209.70
10.27917	2209.60
10.27986	2209.40
10.28056	2209.40
10.28125	2209.30
10.28194	2209.80
10.28264	2210.20
10.28333	2210.50
10.28403	2210.90
10.28472	2211.10
10.28542	2211.00
10.28611	2211.20
10.28681	2211.50
10.28750	2211.60
10.28819	2211.40
10.28889	2211.30
10.28958	2211.30
10.29028	2211.10
10.29097	2211.00
10.29167	2211.30
10.29236	2211.30
10.29306	2211.10
10.29375	2210.90
10.29444	2210.80
10.29514	2210.50
10.29583	2210.40
10.29653	2210.40
10.29722	2210.40
10.29792	2210.40
10.29861	2210.40
10.29931	2210.70
10.30000	2210.60
10.30069	2210.60
10.30139	2210.70
10.30208	2210.60
10.30278	2210.50
10.30347	2210.00
10.30417	2209.70
10.30486	2209.50
10.30556	2209.30
10.30625	2209.50
10.30694	2209.70
10.30764	2210.00
10.30833	2210.20
10.30903	2210.40
10.30972	2210.70
10.31042	2210.80
10.31111	2210.50
10.31181	2210.60
10.31250	2210.90
10.31319	2210.60
10.31389	2210.50
10.31458	2209.90
10.31528	2209.40
10.31597	2209.40
10.31667	2209.70
10.31736	2209.70
10.31806	2209.70
10.31875	2210.10
10.31944	2210.20
10.32014	2210.20
10.32083	2210.30
10.32153	2210.00
10.32222	2209.50
10.32292	2209.40
10.32361	2209.10
10.32431	2208.60
10.32500	2208.20
10.32569	2208.10
10.32639	2207.80
10.32708	2207.90
10.32778	2208.10
10.32847	2207.70
10.32917	2207.90
10.32986	2208.10
10.33056	2208.10
10.33125	2208.00
10.33194	2208.10
10.33264	2208.10
10.33333	2207.90
10.33403	2207.80
10.33472	2208.10
10.33542	2208.10
10.33611	2207.80
10.33681	2208.00
10.33750	2208.10
10.33819	2207.80
10.33889	2206.70
10.33958	2206.60
10.34028	2206.90
10.34097	2207.10
10.34167	2206.90
10.34236	2207.20
10.34306	2207.00
10.34375	2206.90
10.34444	2206.90
10.34514	2207.20
10.34583	2206.90
10.34653	2206.40
10.34722	2206.40
10.34792	2206.40
10.34861	2206.80
10.34931	2207.20
10.35000	2207.00
10.35069	2206.60
10.35139	2206.90
10.35208	2206.90
10.35278	2207.20
10.35347	2207.30
10.35417	2206.70
10.35486	2206.70
10.35556	2207.00
10.35625	2206.90
10.35694	2206.70
10.35764	2206.60
10.35833	2206.20
10.35903	2206.40
10.35972	2207.00
10.36042	2207.60
10.36111	2208.20
10.36181	2208.60
10.36250	2208.50
10.36319	2207.90
10.36389	2207.00
10.36458	2207.40
10.36528	2207.60
10.36597	2208.00
10.36667	2208.80
10.36736	2209.00
10.36806	2208.80
10.36875	2208.70
10.36944	2208.80
10.37014	2208.50
10.37083	2208.10
10.37153	2208.20
10.37222	2208.70
10.37292	2209.20
10.37361	2209.30
10.37431	2208.60
10.37500	2208.20
10.37569	2208.70
10.37639	2209.20
10.37708	2209.80
10.37778	2210.30
10.37847	2210.30
10.37917	2209.90
10.37986	2209.80
10.38056	2210.00
10.38125	2210.70
10.38194	2212.00
10.38264	2212.30
10.38333	2212.00
10.38403	2211.10
10.38472	2210.90
10.38542	2211.20
10.38611	2211.50
10.38681	2211.70
10.38750	2211.70
10.38819	2212.10
10.38889	2211.80
10.38958	2211.50
10.39028	2211.60
10.39097	2211.30
10.39167	2210.40
10.39236	2211.70
10.39306	2212.70
10.39375	2213.30
10.39444	2212.90
10.39514	2212.00
10.39583	2211.30
10.39653	2211.00
10.39722	2211.00
10.39792	2212.10
10.39861	2213.60
10.39931	2213.50
10.40000	2212.20
10.40069	2210.90
10.40139	2210.70
10.40208	2210.50
10.40278	2210.50
10.40347	2210.80
10.40417	2211.00
10.40486	2211.20
10.40556	2211.10
10.40625	2211.40
10.40694	2211.60
10.40764	2211.40
10.40833	2211.10
10.40903	2211.00
10.40972	2211.20
